# freq_centers,unsmoothed_acf,smoothed_acf
8.919092216284826691e+01,1.515772288869829398e-03,3.039256776257138158e-04
9.001504357299491232e+01,1.191103785156480410e-03,2.698173840279614985e-04
9.084790897688318978e+01,7.843460932997384878e-04,2.530928969418109260e-04
9.168514637764225483e+01,1.343773682210032264e-05,2.490908594692945507e-04
9.252894177370754392e+01,1.196676713776235443e-04,2.134987897516573622e-04
9.337710916664362060e+01,1.672468750821772899e-03,2.470760413127473217e-04
9.423183455488592131e+01,2.707540580776894709e-04,2.526114367347958136e-04
9.509311793843440341e+01,4.847096511623628646e-05,3.496845358584889374e-04
9.595877331885370154e+01,1.090994661657706106e-04,4.407107065860543967e-04
9.682880069614381568e+01,1.424278631398852323e-04,4.433123277456409161e-04
9.770975806561092725e+01,1.172392751671102009e-04,4.443283462758078513e-04
9.859508743194885483e+01,2.227480628759089497e-04,4.261507350479613312e-04
9.948478879515758422e+01,5.867767715678022782e-04,4.832398320139190233e-04
1.003832341521079172e+02,5.002296280355177267e-04,4.755560383353836127e-04
1.012838655074936582e+02,1.271801717906971638e-03,3.785421329032119227e-04
1.021932408566210029e+02,1.608506796781233004e-03,4.025669634559047184e-04
1.031091742010545431e+02,1.991111803113539917e-03,4.008017926043911370e-04
1.040316655407943216e+02,1.548758794523977765e-03,4.046159682006271897e-04
1.049607148758402673e+02,1.203986099273038129e-03,4.024549527314380732e-04
1.058963222061924512e+02,5.538683108843921264e-04,3.965020184672478788e-04
1.068341155349800289e+02,7.372824875917775205e-04,3.936905263722505080e-04
1.077828388559446182e+02,2.224322405238911288e-05,3.873720999489225418e-04
1.087381201722154174e+02,4.424088982264996186e-04,4.453742224954515419e-04
1.096977734853570183e+02,5.753699726378258029e-04,4.190205561071014316e-04
1.106617987953694069e+02,2.608999006172566109e-05,3.484387258131291763e-04
1.116367540975588213e+02,1.574602063171798392e-04,1.922111336403851283e-04
1.126160813966190517e+02,1.150278903458244869e-04,7.724577209677338041e-05
1.136019666909854777e+02,4.176076091805125135e-05,6.735056607672833609e-05
1.145944099806581136e+02,1.871005591851799795e-04,8.658078098368125048e-05
1.155955972640723530e+02,5.066641048290471214e-04,4.061912471275438394e-05
1.165989705459219863e+02,1.235650823501963699e-03,1.323550646650620039e-04
1.176132738199486596e+02,9.376580005853002138e-04,1.762431644809728140e-04
1.186297630924106983e+02,7.135848226523884476e-04,1.828775705228722357e-04
1.196571823570497912e+02,1.026907605027593942e-05,2.471166423221320303e-04
1.206911596169950656e+02,9.108862812944120725e-05,2.816857283432999486e-04
1.217316948722465497e+02,1.078522686536537200e-03,3.437307485000997277e-04
1.227766021243688499e+02,7.976922782677091329e-04,4.861620225798221791e-04
1.238302533702327395e+02,1.545249139656071488e-04,6.376022869084014676e-04
1.248904626114028247e+02,1.185382634560075508e-03,6.313438153519074399e-04
1.259572298478791481e+02,9.988754104213967179e-04,5.760458851793929646e-04
1.270327410780970609e+02,6.594890118786639333e-04,5.274812142497557407e-04
1.281126243051858182e+02,8.405907859656799094e-04,5.488536425640527187e-04
1.292012515260161081e+02,5.957689690262637366e-04,6.261495595138462768e-04
1.302964367421526504e+02,9.017098408184110944e-04,6.769636199447748130e-04
1.313981799535954167e+02,1.847677049093390204e-03,5.995296823024287612e-04
1.325086671587797582e+02,2.107243742651198747e-03,5.687120805790058962e-04
1.336257123592703522e+02,4.273116185441307256e-04,5.604228909847118814e-04
1.347493155550671133e+02,5.345166558399507776e-04,6.153153216046734070e-04
1.358794767461700985e+02,3.218962528344723891e-04,5.571026668365396204e-04
1.370183819310146873e+02,9.845703675057250037e-04,5.110481948740330923e-04
1.381638451111654717e+02,9.903203767986502697e-04,5.254749327946400903e-04
1.393158662866224518e+02,7.353708617432161204e-04,4.994814675903705816e-04
1.404766314558210638e+02,9.672139219724699380e-05,4.589224709258454197e-04
1.416439546203258715e+02,4.069493794596925999e-04,4.258231273999389926e-04
1.428200217785723112e+02,6.998301315863583727e-04,3.485820283144127761e-04
1.440026469321249465e+02,8.914584170980697619e-04,2.412104481423723353e-04
1.451918300809837774e+02,4.038749636404852001e-04,3.038834946165927097e-04
1.463897572235842404e+02,3.805919244300947583e-04,3.140135728795216295e-04
1.475942423614908705e+02,8.531686575881513180e-04,4.336771930847030539e-04
1.488052854947037247e+02,4.916272739624756583e-04,4.207578023888310071e-04
1.500272586200936189e+02,5.126250141400401779e-05,3.702902904705023673e-04
1.512536037423543007e+02,4.573495729190916862e-04,3.706680241193929478e-04
1.524908788567919657e+02,8.107116042766919278e-04,4.170736884913577394e-04
1.537325259681004752e+02,6.657751499983634086e-04,4.140070386363850345e-04
1.549829170731505599e+02,1.268700261178497442e-03,4.498739557556450308e-04
1.562420521719422766e+02,6.705134404055709211e-04,4.312910088580382598e-04
1.575077452660402173e+02,1.928386070088956589e-03,4.303518050770788281e-04
1.587821823538797048e+02,8.111269302901098245e-04,4.352722157283725056e-04
1.600653634354608812e+02,3.127916186017295542e-04,4.065895111663899841e-04
1.613551025123481963e+02,7.404419540228661259e-04,3.788366969758264619e-04
1.626513995845417639e+02,7.197196530610133194e-04,3.768403767867106410e-04
1.639586266489123432e+02,3.657794586713095336e-04,3.835741076563201893e-04
1.652724117085890612e+02,1.181345207175778147e-03,3.509456972710443107e-04
1.665949407620074680e+02,6.419814673417630719e-04,3.180506634856779713e-04
1.679240278107320705e+02,3.912661080179394052e-04,2.466461819309490890e-04
1.692618588531982198e+02,4.466486724581094974e-04,2.015421750968815495e-04
1.706106198878414375e+02,4.681019787501300520e-04,5.791569685086765603e-05
1.719637529193554712e+02,1.190444177790416614e-04,1.350596193092257274e-05
1.733256299446110802e+02,2.446180751643453711e-05,0.000000000000000000e+00
1.746962509636082927e+02,5.477502314952857826e-04,1.380296324564005473e-05
1.760756159763471373e+02,3.726736362855105687e-04,1.022498082343114851e-04
1.774637249828275856e+02,2.241577501251047202e-04,1.807387750445380731e-04
1.788605779830496374e+02,3.100916855118177442e-04,1.946045117882202243e-04
1.802618029801425052e+02,6.498999416465151902e-05,2.036512000294423699e-04
1.816761439678477643e+02,1.937389968960567234e-07,2.342919939382852974e-04
