# bin_centers,CoVs,smoothed_CoVs,FAPs
1.527003264248312320e+01,1.089326664593794902e+00,1.046098554420342719e+00,1.164656249999999948e+00
1.562715229025680230e+01,1.088400693858223356e+00,1.051879560393316204e+00,1.162195312499999966e+00
1.599063538091768599e+01,1.050939921800044585e+00,1.061358051556494209e+00,1.160007812499999957e+00
1.636056015863112023e+01,1.063320112373506099e+00,1.070392921574572664e+00,1.157546874999999975e+00
1.673700540049989627e+01,1.058452581003410664e+00,1.091120616975658431e+00,1.156330078125000105e+00
1.712005041728240684e+01,1.011369330095204466e+00,1.109904946510319235e+00,1.155468750000000044e+00
1.750977505410776658e+01,1.050452486246649997e+00,1.130037417532194999e+00,1.154607421874999984e+00
1.790625969118790195e+01,1.049487842780759461e+00,1.162958402236889954e+00,1.153746093749999924e+00
1.830958524452663738e+01,1.075820918953784844e+00,1.193942073590238628e+00,1.152789062500000128e+00
1.871983316662583974e+01,1.135030655827708790e+00,1.228286926801719137e+00,1.151832031250000110e+00
1.913708544718860693e+01,1.157828397766847983e+00,1.271115271106462385e+00,1.150970703125000050e+00
1.956142461381955044e+01,1.182493496973197278e+00,1.312189041436305326e+00,1.150109374999999989e+00
1.999293373272220720e+01,1.201110393582238922e+00,1.358503073504245595e+00,1.149056640625000014e+00
2.043169640939359510e+01,1.438067514509795197e+00,1.424264908908074556e+00,1.148099609374999996e+00
2.087779678931592997e+01,1.425445274659511652e+00,1.491682875937573538e+00,1.147142578124999979e+00
2.133131955864555351e+01,1.453089849114902243e+00,1.559148372941145722e+00,1.146185546874999961e+00
2.179234994489908672e+01,1.683521682627572291e+00,1.630328514012605590e+00,1.145228515624999943e+00
2.226097371763682276e+01,1.688314790070323479e+00,1.706321140276118031e+00,1.144271484375000147e+00
2.273727718914340556e+01,1.769986281021315389e+00,1.779206191695146488e+00,1.143218749999999950e+00
2.322134721510581201e+01,1.946279593966845578e+00,1.805762442017945668e+00,1.142166015624999975e+00
2.371327119528864102e+01,1.937231388336777105e+00,1.834117202833985605e+00,1.141208984374999957e+00
2.421313707420677730e+01,2.061921338020544336e+00,1.861422925518437133e+00,1.140060546875000025e+00
2.472103334179540823e+01,2.469399237338623987e+00,1.869774372779751337e+00,1.139103515625000007e+00
2.523704903407744382e+01,2.466717229419527424e+00,1.880997588469547566e+00,1.138050781250000032e+00
2.576127373382835728e+01,2.480095549448525727e+00,1.886310824380516449e+00,1.136902343750000099e+00
2.629379757123847128e+01,2.553235543504066118e+00,1.883411192905832365e+00,1.135849609375000124e+00
